Date,NIFTY_TOTAL_MARKET
2020-09-11,6496.86
2020-09-10,6478.46
2020-09-09,6388.47
2020-09-08,6416.8
2020-09-07,6451.5
2020-09-04,6450.74
2020-09-03,6558.19
2020-09-02,6546.41
2020-09-01,6491.94
2020-08-31,6444.83
2020-08-28,6632.89
2020-08-27,6593.38
2020-08-26,6584.05
2020-08-25,6542.63
2020-08-24,6534.92
2020-08-21,6482.53
2020-08-20,6443.63
2020-08-19,6471.46
2020-08-18,6448.89
2020-08-17,6369.93
2020-08-14,6332.43
2020-08-13,6396.91
2020-08-12,6378.16
2020-08-11,6381.83
2020-08-10,6366.41
2020-08-07,6317.18
2020-08-06,6295.92
2020-08-05,6239.32
2020-08-04,6227.17
2020-08-03,6129.1
2020-07-31,6196.93
2020-07-30,6193.48
2020-07-29,6235.88
2020-07-28,6265.66
2020-07-27,6186.28
2020-07-24,6228.79
2020-07-23,6247.85
2020-07-22,6201.15
2020-07-21,6217.34
2020-07-20,6159.34
2020-07-17,6097.69
2020-07-16,6009.27
2020-07-15,5956.84
2020-07-14,5959.58
2020-07-13,6055.59
2020-07-10,6041.95
2020-07-09,6068.01
2020-07-08,6019.14
2020-07-07,6063.48
2020-07-06,6039.98
2020-07-03,5958.52
2020-07-02,5926.01
2020-07-01,5859.36
2020-06-30,5804.22
2020-06-29,5813.47
2020-06-26,5861.76
2020-06-25,5821.08
2020-06-24,5818.19
2020-06-23,5903.37
2020-06-22,5810.32
2020-06-19,5753.3
2020-06-18,5670.92
2020-06-17,5572.17
2020-06-16,5579.18
2020-06-15,5534.65
2020-06-12,5608.48
2020-06-11,5568.05
2020-06-10,5673.95
2020-06-09,5635.83
2020-06-08,5694.63
2020-06-05,5676.53
2020-06-04,5596.64
2020-06-03,5607.81
2020-06-02,5561.8
2020-06-01,5480.99
2020-05-29,5345.52
2020-05-28,5280.76
2020-05-27,5187.48
2020-05-26,5071.49
2020-05-22,5065.39
2020-05-21,5102.56
2020-05-20,5072.25
2020-05-19,4975.82
2020-05-18,4949.61
2020-05-15,5126.11
2020-05-14,5133.04
2020-05-13,5236.09
2020-05-12,5136.4
2020-05-11,5160.69
2020-05-08,5157.7
2020-05-07,5137.19
2020-05-06,5174.16
2020-05-05,5138.68
2020-05-04,5188.72
2020-04-30,5471.67
2020-04-29,5326.22
2020-04-28,5240.95
2020-04-27,5194.31
2020-04-24,5118.89
2020-04-23,5209.19
2020-04-22,5146.53
2020-04-21,5052.9
2020-04-20,5202.72
2020-04-17,5201.29
2020-04-16,5063.03
2020-04-15,5015.92
2020-04-13,5026.12
2020-04-09,5080.85
2020-04-08,4889.41
2020-04-07,4879.81
2020-04-03,4532.77
2020-04-01,4615.72
2020-03-31,4773.97
2020-03-30,4605.36
2020-03-27,4777.44
2020-03-26,4770.28
2020-03-25,4585.72
2020-03-24,4343.0
2020-03-23,4260.18
2020-03-20,4882.11
2020-03-19,4642.86
2020-03-18,4780.35
2020-03-17,5058.02
2020-03-16,5176.72
2020-03-13,5563.09
2020-03-12,5386.9
2020-03-11,5876.91
2020-03-09,5885.93
2020-03-06,6178.12
2020-03-05,6328.27
2020-03-04,6312.62
2020-03-03,6358.41
2020-03-02,6257.81
2020-02-28,6296.84
2020-02-27,6532.08
2020-02-26,6562.25
2020-02-25,6631.77
2020-02-24,6654.7
2020-02-20,6790.26
2020-02-19,6797.72
2020-02-18,6712.49
2020-02-17,6742.39
2020-02-14,6789.12
2020-02-13,6827.69
2020-02-12,6840.42
2020-02-11,6807.2
2020-02-10,6779.19
2020-02-07,6816.69
2020-02-06,6818.74
2020-02-05,6782.17
2020-02-04,6715.47
2020-02-03,6577.52
2020-02-01,6548.25
2020-01-31,6722.61
2020-01-30,6762.2
2020-01-29,6824.2
2020-01-28,6788.64
2020-01-27,6818.5
2020-01-24,6875.79
2020-01-23,6833.04
2020-01-22,6782.42
2020-01-21,6809.97
2020-01-20,6835.37
2020-01-17,6899.04
2020-01-16,6892.95
2020-01-15,6876.62
2020-01-14,6867.98
2020-01-13,6844.7
2020-01-10,6799.82
2020-01-09,6776.56
2020-01-08,6672.49
2020-01-07,6681.65
2020-01-06,6641.24
2020-01-03,6774.46
2020-01-02,6800.13
2020-01-01,6736.31
2019-12-31,6724.83
2019-12-30,6759.55
2019-12-27,6747.63
2019-12-26,6685.32
2019-12-24,6718.88
2019-12-23,6738.37
2019-12-20,6743.76
2019-12-19,6734.87
2019-12-18,6716.01
2019-12-17,6693.99
2019-12-16,6640.43
2019-12-13,6661.11
2019-12-12,6598.05
2019-12-11,6560.41
2019-12-10,6533.6
2019-12-09,6585.88
2019-12-06,6584.88
2019-12-05,6645.15
2019-12-04,6661.78
2019-12-03,6635.64
2019-12-02,6673.3
2019-11-29,6684.31
2019-11-28,6721.69
