Date,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100
2022-08-03,35515.88
2022-08-02,35643.35
2022-08-01,35487.89
2022-07-29,34899.35
2022-07-28,34463.53
2022-07-27,34102.18
2022-07-26,33919.58
2022-07-25,34278.71
2022-07-22,34329.26
2022-07-21,34213.79
2022-07-20,33967.95
2022-07-19,33664.58
2022-07-18,33357.46
2022-07-15,33000.67
2022-07-14,32780.8
2022-07-13,32984.64
2022-07-12,32962.84
2022-07-11,33095.62
2022-07-08,32795.18
2022-07-07,32676.35
2022-07-06,32321.6
2022-07-05,32181.96
2022-07-04,32124.58
2022-07-01,31938.07
2022-06-30,31892.35
2022-06-29,32086.29
2022-06-28,32165.56
2022-06-27,32225.45
2022-06-24,31646.64
2022-06-23,31236.2
2022-06-22,30830.87
2022-06-21,31089.7
2022-06-20,30261.21
2022-06-17,31056.46
2022-06-16,31267.75
2022-06-15,32172.98
2022-06-14,31939.21
2022-06-13,32023.79
2022-06-10,33166.8
2022-06-09,33550.03
2022-06-08,33629.29
2022-06-07,33769.79
2022-06-06,34030.89
2022-06-03,34185.33
2022-06-02,34453.26
2022-06-01,34166.56
2022-05-31,34021.88
2022-05-30,33772.99
2022-05-27,32877.04
2022-05-26,32393.3
2022-05-25,31965.27
2022-05-24,33151.54
2022-05-23,33534.76
2022-05-20,33778.58
2022-05-19,32948.5
2022-05-18,33564.74
2022-05-17,33412.19
2022-05-16,32589.6
2022-05-13,32322.39
2022-05-12,32139.12
2022-05-11,32584.43
2022-05-10,33560.98
2022-05-09,34168.28
2022-05-06,34857.83
2022-05-05,35764.01
2022-05-04,35975.42
2022-05-02,36679.7
2022-04-29,36926.27
2022-04-28,37436.51
2022-04-27,37261.08
2022-04-26,37412.34
2022-04-25,37003.96
2022-04-22,37795.55
2022-04-21,37915.79
2022-04-20,37508.41
2022-04-19,37457.54
2022-04-18,38138.7
2022-04-13,38451.69
2022-04-12,38437.16
2022-04-11,39201.44
2022-04-08,39022.49
2022-04-07,38648.06
2022-04-06,38879.54
2022-04-05,38866.72
2022-04-04,38656.75
2022-04-01,38085.17
2022-03-31,37438.34
2022-03-30,37140.25
2022-03-29,36812.77
2022-03-28,36484.0
2022-03-25,36573.06
2022-03-24,36810.02
2022-03-23,36630.81
2022-03-22,36747.07
2022-03-21,36587.87
2022-03-17,36369.28
2022-03-16,35669.68
2022-03-15,35178.52
2022-03-14,35483.96
2022-03-11,35354.74
2022-03-10,34984.82
2022-03-09,34578.49
2022-03-08,33984.96
2022-03-07,33513.08
2022-03-04,34109.42
2022-03-03,34620.76
2022-03-02,34494.45
2022-02-28,34454.7
2022-02-25,34252.81
2022-02-24,32736.75
2022-02-23,34645.94
2022-02-22,34120.43
2022-02-21,34622.5
2022-02-18,35521.01
2022-02-17,35862.99
2022-02-16,36118.31
2022-02-15,35940.17
2022-02-14,35166.15
2022-02-11,36809.39
2022-02-10,37591.03
2022-02-09,37457.42
2022-02-08,37423.18
2022-02-07,37925.57
2022-02-04,38263.28
2022-02-03,38607.45
2022-02-02,38691.88
2022-02-01,38084.33
2022-01-31,37866.87
2022-01-28,37440.54
2022-01-27,37203.9
2022-01-25,37540.17
2022-01-24,37165.48
2022-01-21,39038.23
2022-01-20,39780.81
2022-01-19,40024.68
2022-01-18,39893.38
2022-01-17,40605.35
2022-01-14,40269.44
2022-01-13,40153.04
2022-01-12,40137.9
2022-01-11,39810.85
2022-01-10,39827.61
2022-01-07,39310.53
2022-01-06,39173.03
2022-01-05,39351.15
2022-01-04,39369.3
2022-01-03,39132.45
2021-12-31,38775.63
2021-12-30,38376.95
2021-12-29,38197.29
2021-12-28,38042.23
2021-12-27,37374.08
2021-12-24,37429.08
2021-12-23,37714.83
2021-12-22,37226.23
2021-12-21,36477.81
2021-12-20,35994.09
2021-12-17,37401.38
2021-12-16,38154.62
2021-12-15,38491.87
2021-12-14,38558.41
2021-12-13,38487.77
2021-12-10,38335.49
2021-12-09,38314.43
2021-12-08,37932.73
2021-12-07,37162.29
2021-12-06,36635.22
2021-12-03,36972.54
2021-12-02,36779.82
2021-12-01,36528.97
2021-11-30,36512.93
2021-11-29,35861.89
2021-11-26,36657.31
2021-11-25,37668.26
2021-11-24,37296.36
2021-11-23,37238.56
2021-11-22,36528.05
2021-11-18,37500.93
2021-11-17,37987.23
2021-11-16,37882.8
2021-11-15,37498.22
2021-11-12,37636.96
2021-11-11,37522.13
2021-11-10,37798.27
2021-11-09,38074.71
2021-11-08,37796.08
2021-11-04,37703.63
2021-11-03,37164.63
2021-11-02,37348.1
2021-11-01,37001.32
2021-10-29,36656.57
2021-10-28,36895.83
2021-10-27,37440.2
2021-10-26,37088.03
2021-10-25,36169.23
2021-10-22,36711.35
2021-10-21,37093.91
2021-10-20,37735.01
2021-10-19,38592.71
2021-10-18,39224.3
2021-10-14,38910.5
2021-10-13,38564.85
2021-10-12,38552.31
2021-10-11,38422.81
2021-10-08,38188.5
2021-10-07,37958.86
2021-10-06,37529.93
2021-10-05,37683.65
2021-10-04,37399.46
2021-10-01,36896.72
2021-09-30,36772.83
2021-09-29,36593.93
2021-09-28,36472.47
2021-09-27,36734.44
2021-09-24,36806.31
2021-09-23,36758.16
2021-09-22,36556.14
2021-09-21,35924.13
2021-09-20,35954.24
2021-09-17,36670.09
2021-09-16,36875.13
2021-09-15,37056.1
2021-09-14,36669.96
2021-09-13,36468.34
2021-09-09,35848.01
2021-09-08,35659.92
2021-09-07,35484.94
2021-09-06,35545.57
2021-09-03,35274.03
2021-09-02,35102.49
2021-09-01,34694.04
2021-08-31,34680.7
2021-08-30,34578.76
2021-08-27,34197.22
2021-08-26,33975.93
2021-08-25,33943.33
2021-08-24,33735.68
2021-08-23,32887.74
2021-08-20,33571.05
2021-08-18,34383.04
2021-08-17,34560.17
2021-08-16,34682.76
2021-08-13,35043.14
2021-08-12,35241.61
2021-08-11,34426.73
2021-08-10,34696.88
2021-08-09,35627.35
2021-08-06,35901.33
2021-08-05,35812.93
2021-08-04,35952.38
2021-08-03,36318.72
2021-08-02,36373.37
2021-07-30,36071.06
2021-07-29,35900.88
2021-07-28,35630.25
2021-07-27,35846.25
2021-07-26,35903.68
2021-07-23,35680.26
2021-07-22,35775.26
2021-07-20,35223.12
2021-07-19,35825.87
2021-07-16,35912.29
2021-07-15,35465.43
2021-07-14,35120.51
2021-07-13,35096.05
2021-07-12,34729.42
2021-07-09,34423.66
2021-07-08,34208.41
2021-07-07,34145.28
2021-07-06,34112.23
2021-07-05,34398.87
2021-07-02,33958.4
2021-07-01,33603.06
2021-06-30,33314.54
2021-06-29,33130.91
2021-06-28,32955.09
2021-06-25,32610.73
2021-06-24,32442.25
2021-06-23,32501.82
2021-06-22,32646.79
2021-06-21,32326.81
2021-06-18,32196.82
2021-06-17,32401.98
2021-06-16,32533.42
2021-06-15,32602.85
2021-06-14,32443.52
2021-06-11,32555.9
2021-06-10,32400.73
2021-06-09,32000.37
2021-06-08,32332.37
2021-06-07,31965.25
2021-06-04,31602.31
2021-06-03,31485.96
2021-06-02,31192.76
2021-06-01,30811.52
2021-05-31,30985.36
2021-05-28,30887.2
2021-05-27,31013.69
2021-05-26,30877.33
2021-05-25,30650.99
2021-05-24,30607.54
2021-05-21,30394.87
2021-05-20,30265.45
2021-05-19,30166.79
2021-05-18,29994.23
2021-05-17,29505.88
2021-05-14,29078.06
2021-05-12,29256.79
2021-05-11,29486.22
2021-05-10,29260.25
2021-05-07,28969.76
2021-05-06,28919.72
2021-05-05,28902.02
2021-05-04,28685.93
2021-05-03,28720.98
2021-04-30,28259.35
2021-04-29,28152.09
2021-04-28,28038.73
2021-04-27,27700.35
2021-04-26,27205.3
2021-04-23,27000.67
2021-04-22,26817.64
2021-04-20,26622.81
2021-04-19,26442.53
2021-04-16,26884.11
2021-04-15,26594.07
2021-04-13,26605.29
2021-04-12,26339.21
2021-04-09,27805.55
2021-04-08,27605.71
2021-04-07,27342.73
2021-04-06,26941.95
2021-04-05,26594.57
2021-04-01,26866.77
2021-03-31,26419.46
2021-03-30,26305.47
2021-03-26,25844.09
2021-03-25,25509.2
2021-03-24,26007.03
2021-03-23,26469.88
2021-03-22,26217.33
2021-03-19,26045.57
2021-03-18,25939.58
2021-03-17,26465.73
2021-03-16,27073.75
2021-03-15,26873.36
2021-03-12,27052.67
2021-03-10,26901.38
2021-03-09,26618.41
2021-03-08,26874.68
2021-03-05,26773.35
2021-03-04,27207.77
2021-03-03,27031.86
2021-03-02,26720.87
2021-03-01,26383.86
2021-02-26,25867.9
2021-02-25,26154.02
2021-02-24,25773.12
2021-02-23,25441.93
2021-02-22,25294.0
2021-02-19,25509.32
2021-02-18,25645.52
2021-02-17,25545.66
2021-02-16,25424.3
2021-02-15,25405.08
2021-02-12,25191.94
2021-02-11,25164.46
2021-02-10,24784.03
2021-02-09,24652.12
2021-02-08,24762.13
2021-02-05,24428.04
2021-02-04,24474.5
2021-02-03,24176.17
2021-02-02,23701.32
2021-02-01,23523.1
2021-01-29,23172.93
2021-01-28,23317.05
2021-01-27,23422.18
2021-01-25,23373.41
2021-01-22,23581.2
2021-01-21,23636.94
2021-01-20,23789.92
2021-01-19,23651.86
2021-01-18,23156.74
2021-01-15,23563.72
2021-01-14,23822.01
2021-01-13,23798.59
2021-01-12,23686.05
2021-01-11,23688.48
2021-01-08,23713.91
2021-01-07,23530.14
2021-01-06,23287.62
2021-01-05,23276.48
2021-01-04,23039.6
2021-01-01,22762.4
2020-12-31,22502.52
2020-12-30,22540.66
2020-12-29,22381.1
2020-12-28,22306.37
2020-12-24,21980.09
2020-12-23,21744.86
2020-12-22,21128.08
2020-12-21,20888.19
2020-12-18,21847.35
2020-12-17,21900.05
2020-12-16,21891.19
2020-12-15,21813.26
2020-12-14,21777.59
2020-12-11,21665.22
2020-12-10,21615.05
2020-12-09,21789.18
2020-12-08,21658.33
2020-12-07,21813.13
2020-12-04,21546.5
2020-12-03,21475.03
2020-12-02,21319.54
2020-12-01,21365.06
2020-11-27,21162.64
2020-11-26,20652.61
2020-11-25,20527.43
2020-11-24,20726.52
2020-11-23,20462.93
2020-11-20,20157.84
2020-11-19,20055.4
2020-11-18,20050.8
2020-11-17,19958.79
2020-11-14,19893.77
2020-11-13,19689.01
2020-11-12,19568.91
2020-11-11,19352.06
2020-11-10,19288.28
2020-11-09,19434.96
2020-11-06,19347.07
2020-11-05,19264.68
2020-11-04,18943.13
2020-11-03,18856.4
2020-11-02,18773.28
2020-10-30,19069.5
2020-10-29,19078.85
2020-10-28,19310.56
2020-10-27,19459.15
2020-10-26,19411.12
2020-10-23,19538.29
2020-10-22,19512.28
2020-10-21,19318.87
2020-10-20,19263.35
2020-10-19,19238.2
2020-10-16,19210.4
2020-10-15,18967.43
2020-10-14,19283.12
2020-10-13,19230.14
2020-10-12,19202.6
2020-10-09,19250.8
2020-10-08,19270.64
2020-10-07,19358.92
2020-10-06,19509.05
2020-10-05,19414.18
2020-10-01,19404.33
2020-09-30,19315.82
2020-09-29,19253.67
2020-09-28,19332.47
2020-09-25,18803.99
2020-09-24,18373.07
2020-09-23,18784.62
2020-09-22,18800.97
2020-09-21,19120.71
2020-09-18,19802.55
2020-09-17,19836.1
2020-09-16,19893.05
2020-09-15,19706.78
2020-09-14,19326.97
2020-09-11,18314.45
2020-09-10,18262.49
2020-09-09,18012.07
2020-09-08,18257.41
2020-09-07,18405.9
2020-09-04,18371.33
2020-09-03,18592.66
2020-09-02,18420.36
2020-09-01,18110.78
2020-08-31,18013.82
2020-08-28,18937.09
2020-08-27,19031.92
2020-08-26,18963.62
2020-08-25,18751.35
2020-08-24,18677.78
2020-08-21,18256.54
2020-08-20,18049.51
2020-08-19,18000.7
2020-08-18,17826.79
2020-08-17,17557.04
2020-08-14,17386.75
2020-08-13,17562.02
2020-08-12,17460.4
2020-08-11,17480.82
2020-08-10,17506.16
2020-08-07,17234.64
2020-08-06,17167.57
2020-08-05,17021.19
2020-08-04,16793.19
2020-08-03,16604.26
2020-07-31,16305.13
2020-07-30,16186.83
2020-07-29,16329.29
2020-07-28,16355.24
2020-07-27,16201.67
2020-07-24,16297.34
2020-07-23,16269.69
2020-07-22,16138.96
2020-07-21,16152.53
2020-07-20,16154.47
2020-07-17,16014.93
2020-07-16,15821.06
2020-07-15,15780.99
2020-07-14,15742.92
2020-07-13,15882.05
2020-07-10,15817.43
2020-07-09,15831.95
2020-07-08,15648.28
2020-07-07,15659.26
2020-07-06,15611.51
2020-07-03,15390.05
2020-07-02,15375.55
2020-07-01,15252.59
2020-06-30,15143.51
2020-06-29,15213.49
2020-06-26,15295.44
2020-06-25,15283.31
2020-06-24,15241.08
2020-06-23,15460.25
2020-06-22,15263.4
2020-06-19,15059.77
2020-06-18,14805.63
2020-06-17,14646.08
2020-06-16,14601.75
2020-06-15,14569.75
2020-06-12,14554.3
2020-06-11,14540.07
2020-06-10,14725.91
2020-06-09,14615.8
2020-06-08,14807.43
2020-06-05,14657.43
2020-06-04,14287.56
2020-06-03,14254.07
2020-06-02,14164.02
2020-06-01,13872.9
2020-05-29,13467.33
2020-05-28,13348.27
2020-05-27,13152.93
2020-05-26,13125.2
2020-05-22,13065.58
2020-05-21,13115.22
2020-05-20,13005.82
2020-05-19,12791.01
2020-05-18,12790.21
2020-05-15,13168.0
2020-05-14,13169.76
2020-05-13,13297.48
2020-05-12,13020.81
2020-05-11,13157.39
2020-05-08,13209.47
2020-05-07,13348.16
2020-05-06,13290.39
2020-05-05,13151.9
2020-05-04,13288.98
2020-04-30,13713.14
2020-04-29,13672.93
2020-04-28,13544.91
2020-04-27,13402.09
2020-04-24,13217.19
2020-04-23,13469.0
2020-04-22,13256.71
2020-04-21,13173.35
2020-04-20,13642.08
2020-04-17,13644.62
2020-04-16,13341.31
2020-04-15,13061.62
2020-04-13,12927.19
2020-04-09,13096.58
2020-04-08,12592.02
2020-04-07,12356.62
2020-04-03,11834.36
2020-04-01,12018.16
2020-03-31,12209.26
2020-03-30,11832.75
2020-03-27,12174.7
2020-03-26,12169.91
2020-03-25,11757.88
2020-03-24,11326.66
2020-03-23,11256.03
2020-03-20,12845.94
2020-03-19,12490.14
2020-03-18,13109.42
2020-03-17,14082.81
2020-03-16,14392.7
2020-03-13,15218.03
2020-03-12,15050.8
2020-03-11,16447.05
2020-03-09,16470.21
2020-03-06,17235.32
2020-03-05,17605.22
2020-03-04,17496.61
2020-03-03,17756.46
2020-03-02,17468.46
2020-02-28,17635.81
2020-02-27,18337.66
2020-02-26,18573.97
2020-02-25,18622.37
2020-02-24,18530.39
2020-02-20,18856.96
2020-02-19,18830.05
2020-02-18,18634.34
2020-02-17,18684.18
2020-02-14,18900.69
2020-02-13,18801.99
2020-02-12,18787.32
2020-02-11,18788.92
2020-02-10,18769.76
2020-02-07,18833.42
2020-02-06,18765.91
2020-02-05,18649.95
2020-02-04,18555.25
2020-02-03,18283.85
2020-02-01,18209.89
2020-01-31,18662.95
2020-01-30,18641.44
2020-01-29,18881.53
2020-01-28,18895.21
2020-01-27,18918.14
2020-01-24,18953.14
2020-01-23,18847.29
2020-01-22,18642.6
2020-01-21,18625.85
2020-01-20,18701.21
2020-01-17,18847.43
2020-01-16,18735.27
2020-01-15,18535.67
2020-01-14,18304.25
2020-01-13,18186.48
2020-01-10,18004.38
2020-01-09,17947.58
2020-01-08,17646.86
2020-01-07,17582.75
2020-01-06,17376.66
2020-01-03,17736.23
2020-01-02,17713.68
2020-01-01,17478.51
2019-12-31,17358.1
2019-12-30,17328.39
2019-12-27,17211.65
2019-12-26,17083.91
2019-12-24,17089.39
2019-12-23,17083.1
2019-12-20,17069.87
2019-12-19,17121.71
2019-12-18,17077.55
2019-12-17,17046.69
2019-12-16,16926.04
2019-12-13,16956.29
2019-12-12,16812.79
2019-12-11,16685.25
2019-12-10,16702.77
2019-12-09,16835.77
2019-12-06,16899.16
2019-12-05,17048.36
2019-12-04,17014.47
